ID,Umur,Pendidikan,Pendapatan,Status Nikah
721,71.0,SMA,NaN,Belum
722,49.0,SMA,NaN,Kawin
723,NaN,S1,8258817.0,Belum
724,28.0,S2,NaN,Kawin
725,70.0,S2,7751220.0,Kawin
726,34.0,D3,NaN,Belum
727,57.0,SMA,5637401.0,NaN
728,47.0,S1,10742961.0,Kawin
729,54.0,SMA,5781584.0,Belum
730,61.0,SMA,6292100.0,Kawin
731,24.0,D3,6630336.0,Belum
732,37.0,D3,8625434.0,Kawin
733,17.0,S1,7945820.0,NaN
734,70.0,S1,7304957.0,Kawin
735,63.0,S1,NaN,Kawin
736,63.0,SMA,5204520.0,Belum
737,68.0,SMA,6430449.0,Kawin
738,54.0,S1,NaN,Kawin
739,32.0,S1,9526170.0,Kawin
740,69.0,SMA,6015693.0,NaN
741,57.0,SMA,6784682.0,Kawin
742,68.0,D3,6757770.0,Kawin
743,32.0,SMA,6131808.0,NaN
744,25.0,D3,NaN,NaN
745,39.0,S1,6271804.0,Kawin
746,19.0,S1,7876453.0,Belum
747,50.0,SMA,NaN,Kawin
748,42.0,S2,NaN,NaN
749,72.0,S2,12805636.0,Kawin
750,57.0,SMA,NaN,Belum
751,23.0,SMA,7025315.0,Kawin
752,27.0,S2,NaN,Kawin
753,20.0,SMA,NaN,Kawin
754,68.0,SMA,NaN,Belum
755,73.0,S1,8616182.0,Kawin
756,21.0,SMA,6121406.0,Kawin
757,72.0,SMA,6030289.0,Kawin
758,77.0,S2,12876858.0,Belum
759,22.0,SMA,NaN,Kawin
760,29.0,SMA,7098278.0,NaN
761,22.0,SMA,6358289.0,NaN
762,22.0,SMA,6296875.0,NaN
763,76.0,S2,NaN,Kawin
764,35.0,SMA,6369738.0,Kawin
765,NaN,S2,NaN,NaN
766,50.0,D3,6918853.0,Kawin
767,32.0,S2,11037769.0,Kawin
768,48.0,SMA,6390297.0,Kawin
769,59.0,D3,7732155.0,Belum
770,38.0,D3,6296867.0,Belum
771,52.0,SMA,4999673.0,NaN
772,18.0,D3,8104515.0,Belum
773,38.0,SMA,5984200.0,Belum
774,26.0,S2,11270130.0,Kawin
775,71.0,S2,11025940.0,Kawin
776,69.0,SMA,7057043.0,Kawin
777,55.0,D3,8691958.0,NaN
778,36.0,D3,6907733.0,NaN
779,17.0,SMA,NaN,Kawin
780,57.0,SMA,5236848.0,Belum
781,38.0,S1,NaN,NaN
782,51.0,SMA,7586708.0,Belum
783,61.0,SMA,5848703.0,Belum
784,58.0,S1,10105980.0,Kawin
785,61.0,D3,6949278.0,Belum
786,44.0,D3,6473780.0,Kawin
787,74.0,S2,8093679.0,Belum
788,56.0,SMA,6159158.0,NaN
789,45.0,S1,NaN,Belum
790,39.0,SMA,6338124.0,Kawin
791,61.0,SMA,NaN,Kawin
792,73.0,SMA,5610217.0,Kawin
793,73.0,S2,10902729.0,Kawin
794,19.0,S1,7772165.0,Kawin
795,NaN,S2,NaN,Belum
796,21.0,S1,NaN,Belum
797,46.0,SMA,6690877.0,NaN
798,78.0,SMA,NaN,Belum
799,52.0,S2,NaN,Kawin
800,65.0,SMA,NaN,NaN
801,58.0,S1,9576365.0,Kawin
802,27.0,D3,6930616.0,Kawin
803,33.0,D3,8551947.0,Belum
804,54.0,S1,NaN,Belum
805,67.0,SMA,6865553.0,Kawin
806,17.0,SMA,6796425.0,Kawin
807,77.0,S1,10006728.0,Kawin
808,29.0,SMA,NaN,NaN
809,69.0,S1,NaN,Kawin
810,71.0,D3,NaN,Kawin
811,42.0,SMA,6556430.0,Kawin
812,35.0,S1,10018922.0,Kawin
813,30.0,S1,NaN,Kawin
814,75.0,D3,NaN,NaN
815,49.0,S2,NaN,Belum
816,22.0,SMA,5471743.0,Belum
817,78.0,D3,NaN,Belum
818,36.0,D3,7220126.0,NaN
819,NaN,S1,10271923.0,NaN
820,72.0,S2,12925508.0,Belum
821,71.0,S2,NaN,Kawin
822,NaN,SMA,NaN,Kawin
823,22.0,SMA,5496589.0,Kawin
824,75.0,SMA,7226982.0,Kawin
825,57.0,D3,7067762.0,Kawin
826,20.0,S2,11755018.0,Belum
827,23.0,D3,NaN,Belum
828,72.0,S2,10010928.0,NaN
829,79.0,SMA,4937348.0,Belum
830,21.0,S2,NaN,NaN
831,34.0,S1,6784574.0,Kawin
832,75.0,D3,6570489.0,Kawin
833,51.0,SMA,6758757.0,NaN
834,59.0,D3,6214045.0,Kawin
835,63.0,S2,11179979.0,Kawin
836,36.0,SMA,5782675.0,Kawin
837,69.0,SMA,NaN,Belum
838,57.0,D3,8513675.0,NaN
839,18.0,S1,9661771.0,Kawin
840,38.0,D3,NaN,Kawin
841,NaN,SMA,6035023.0,Kawin
842,52.0,S2,11616238.0,Kawin
843,25.0,S1,9677527.0,Belum
844,33.0,SMA,5184268.0,Belum
845,66.0,SMA,6253232.0,Kawin
846,31.0,S1,NaN,Kawin
847,NaN,SMA,NaN,Belum
848,58.0,S1,NaN,Kawin
849,55.0,SMA,6287346.0,Kawin
850,79.0,SMA,6454353.0,Kawin
851,NaN,SMA,NaN,Belum
852,74.0,D3,6784240.0,Kawin
853,46.0,S2,12611815.0,NaN
854,75.0,SMA,6362025.0,Belum
855,19.0,D3,8369156.0,NaN
856,67.0,S1,NaN,Kawin
857,NaN,D3,5782205.0,Kawin
858,70.0,S1,9341842.0,NaN
859,75.0,SMA,4929115.0,NaN
860,NaN,SMA,6554334.0,NaN
861,59.0,S2,11281423.0,Kawin
862,20.0,D3,5726495.0,Kawin
863,59.0,SMA,NaN,Belum
864,17.0,S2,14165448.0,Kawin
865,45.0,SMA,6434163.0,Belum
866,61.0,S1,7753368.0,Kawin
867,20.0,SMA,NaN,Kawin
868,39.0,SMA,NaN,Belum
869,74.0,S1,NaN,Belum
870,48.0,S1,10206642.0,Belum
871,65.0,D3,7270200.0,Kawin
872,51.0,SMA,NaN,Kawin
873,21.0,D3,7674817.0,Belum
874,73.0,SMA,6131724.0,Kawin
875,NaN,D3,8055512.0,Kawin
876,39.0,SMA,5265050.0,Belum
877,37.0,S1,9134525.0,Kawin
878,49.0,SMA,7395711.0,Kawin
879,NaN,S1,NaN,Kawin
880,52.0,SMA,4993196.0,NaN
881,27.0,SMA,5883130.0,Kawin
882,31.0,S1,8288488.0,Kawin
883,NaN,D3,5914016.0,Kawin
884,26.0,SMA,4496060.0,NaN
885,45.0,D3,NaN,NaN
886,64.0,S2,11638153.0,Belum
887,69.0,SMA,NaN,Belum
888,23.0,SMA,NaN,Belum
889,NaN,SMA,3852169.0,Kawin
890,33.0,S1,9311488.0,Belum
891,19.0,D3,NaN,Kawin
892,41.0,S1,10196230.0,Belum
893,72.0,S1,9433730.0,Kawin
894,67.0,SMA,NaN,Kawin
895,45.0,SMA,5359969.0,NaN
896,56.0,SMA,5949180.0,Kawin
897,18.0,SMA,5779438.0,Kawin
898,52.0,S1,NaN,Kawin
899,NaN,SMA,6960063.0,Kawin
900,NaN,D3,7008097.0,NaN
901,35.0,SMA,6563627.0,NaN
902,NaN,SMA,NaN,Belum
903,74.0,SMA,5853444.0,NaN
904,65.0,SMA,NaN,Belum
905,50.0,S1,8118991.0,Belum
906,74.0,D3,NaN,NaN
907,78.0,S1,7626886.0,Belum
908,60.0,S1,9068748.0,Kawin
909,25.0,SMA,5120617.0,Kawin
910,47.0,D3,NaN,Belum
911,52.0,S1,10906997.0,Kawin
912,77.0,S1,9307509.0,NaN
913,24.0,D3,7889600.0,Belum
914,46.0,S2,10157102.0,Kawin
915,31.0,D3,6459708.0,Kawin
916,39.0,D3,7740424.0,Belum
917,78.0,D3,7598310.0,Belum
918,17.0,D3,7447171.0,Belum
919,37.0,D3,7963206.0,Kawin
920,55.0,S1,7359434.0,Belum
921,48.0,S1,7860690.0,Kawin
922,17.0,SMA,NaN,Kawin
923,77.0,S1,9419580.0,Kawin
924,66.0,S1,7122236.0,NaN
925,62.0,S1,9804889.0,Belum
926,NaN,SMA,NaN,Belum
927,49.0,D3,8256788.0,Belum
928,61.0,SMA,6489975.0,Kawin
929,32.0,SMA,6971837.0,Kawin
930,79.0,SMA,NaN,Kawin
931,38.0,SMA,6497655.0,Belum
932,48.0,SMA,7063146.0,Kawin
933,74.0,D3,8466760.0,NaN
934,41.0,SMA,6264458.0,Belum
935,35.0,SMA,5345257.0,Kawin
936,35.0,S1,10838841.0,NaN
937,NaN,SMA,NaN,Belum
938,28.0,SMA,6112935.0,Belum
939,58.0,S1,8289172.0,Kawin
940,34.0,SMA,NaN,NaN
941,72.0,S2,NaN,Belum
942,79.0,S2,10084840.0,Kawin
943,38.0,SMA,6984699.0,Kawin
944,28.0,SMA,7348011.0,Kawin
945,33.0,S1,9627694.0,Belum
946,NaN,SMA,7064693.0,NaN
947,54.0,D3,4970439.0,Kawin
948,53.0,S1,NaN,Belum
949,70.0,D3,5760934.0,Kawin
950,24.0,SMA,6890324.0,Kawin
951,33.0,D3,NaN,Belum
952,63.0,D3,NaN,Kawin
953,39.0,SMA,6230923.0,Kawin
954,47.0,S1,9089731.0,Kawin
955,76.0,SMA,5835312.0,Kawin
956,60.0,SMA,5402737.0,Kawin
957,66.0,SMA,4638229.0,Belum
958,NaN,D3,7037184.0,Kawin
959,72.0,SMA,5384003.0,Belum
960,48.0,S2,10055825.0,Kawin
961,NaN,SMA,NaN,NaN
962,39.0,SMA,5695806.0,Belum
963,27.0,D3,7140370.0,Kawin
964,56.0,SMA,6240885.0,Kawin
965,60.0,SMA,5322683.0,Kawin
966,47.0,SMA,5980274.0,Belum
967,69.0,SMA,NaN,Kawin
968,67.0,S2,11518135.0,Belum
969,58.0,SMA,6979082.0,Belum
970,25.0,S2,NaN,Kawin
971,37.0,SMA,NaN,Kawin
972,35.0,D3,9204105.0,NaN
973,64.0,SMA,NaN,Belum
974,78.0,S2,9053561.0,Belum
975,NaN,SMA,NaN,Kawin
976,47.0,SMA,7300767.0,NaN
977,24.0,SMA,NaN,Kawin
978,NaN,SMA,6321670.0,NaN
979,19.0,SMA,5561384.0,Belum
980,24.0,D3,8333333.0,Kawin
981,22.0,SMA,NaN,Kawin
982,65.0,S1,10434167.0,Kawin
983,21.0,SMA,5118166.0,Kawin
984,NaN,D3,8181359.0,Kawin
985,20.0,SMA,NaN,Belum
986,29.0,SMA,NaN,Kawin
987,17.0,SMA,5975152.0,NaN
988,61.0,S2,10635474.0,Belum
989,75.0,SMA,5944337.0,Kawin
990,41.0,S1,10067985.0,Belum
991,70.0,SMA,5579001.0,NaN
992,29.0,D3,NaN,Belum
993,64.0,SMA,7928038.0,Belum
994,26.0,S1,NaN,Kawin
995,68.0,SMA,5378087.0,NaN
996,NaN,S1,9831989.0,Kawin
997,73.0,SMA,6179879.0,NaN
998,58.0,SMA,NaN,Belum
999,59.0,D3,NaN,Belum
1000,56.0,S2,NaN,Kawin
